Mall Name,Tenant
100 Am,"Beans.FactoryCafe, Fastfood & Takeaway#01-13A"
100 Am,"belle-ville Pancake CafeCafe, Fastfood & Takeaway#01-14B"
100 Am,"BK Aesthetics ClinicBeauty Essentials, Health & Pharmacy#04-12"
100 Am,"BlushBeauty Essentials, Health & Pharmacy#04-09"
100 Am,"DaisoFashion & Accessories, Lifestyle, Stationery & Gifts#04-16/16A"
100 Am,"Damara BeautyBeauty Essentials, Health & Pharmacy#04-15"
100 Am,"Don Don DonkiBeauty Essentials, Health & Pharmacy, Fashion & Accessories, Lifestyle, Stationery & Gifts#02-01 to 05 & 02-22 to 26, #03-01 to 05 & 03-09 to 23"
100 Am,"Dr. stretchBeauty Essentials, Health & Pharmacy#04-01"
100 Am,"EC HouseBeauty Essentials, Health & Pharmacy#02-13A"
100 Am,"Eventasty - 碗田 Noodle BarCafe, Fastfood & Takeaway#01-06"
100 Am,FairPrice FinestSupermarket#B1-01
100 Am,Fitness FirstLifestyle#04-16B
100 Am,Gila MakanRestaurant & Bar#02-17 to 19
100 Am,"Guardian PharmacyBeauty Essentials, Health & Pharmacy#02-09"
100 Am,H. I. S. TravelLifestyle#03-16 to 18
100 Am,"HAACHBeauty Essentials, Health & Pharmacy#05-01"
100 Am,"Hairmony SalonBeauty Essentials, Health & Pharmacy#04-11"
100 Am,Henri CharpentierRestaurant & Bar#01-13
100 Am,"InnersenseBeauty Essentials, Health & Pharmacy#04-10"
100 Am,Itadakimasu by PARCORestaurant & Bar#03-10TO15AND#03
100 Am,Japan HomeLifestyle#03-06 to 09
100 Am,Kagoshima KitchenRestaurant & Bar#03-13
100 Am,"KOICafe, Fastfood & Takeaway#01-15A"
100 Am,"Ling JewelleryJewellery, Watches & Eyewear#04-02"
100 Am,Ma MaisonRestaurant & Bar#02-11
100 Am,Maguro BrothersRestaurant & Bar#03-K1
100 Am,Menya KokoroRestaurant & Bar#02-10
100 Am,"Mos BurgerCafe, Fastfood & Takeaway#01-12"
100 Am,"MUJICafe, Fastfood & Takeaway, Lifestyle#04-04 to 08"
